,player_final,player_final_value,actions_taken
137,"{7, 6, 7}",20,"{'H', 'S'}"
138,"{11, 3, 10, 3}",17,"{'H', 'H', 'S'}"
139,"{5, 2, 5}",12,"{'H', 'S'}"
140,"{10, 7}",17,{'S'}
141,"{10, 9}",19,{'S'}
142,"{4, 2, 7, 2, 10}",25,"{'H', 'H', 'H'}"
143,"{5, 11, 2, 10}",18,"{'H', 'H', 'S'}"
144,"{9, 10}",19,{'S'}
145,"{7, 2, 9}",18,{'D'}
146,"{3, 7, 10}",20,"{'H', 'S'}"
147,"{8, 5, 4}",17,"{'H', 'S'}"
148,"{10, 9}",19,{'S'}
149,"{10, 10}",20,"{'N', 'S'}"
150,"{10, 2}",12,{'S'}
151,"{2, 11, 11, 6}",20,"{'H', 'H', 'S'}"
152,"{3, 10, 8}",21,"{'H', 'S'}"
153,"{4, 7, 9}",20,{'D'}
154,"{9, 2, 2}",13,"{'P', 'D'}"
154,"{9, 8}",17,{'S'}
155,"{5, 4}",9,{}
156,"{5, 10}",15,{'R'}
157,"{8, 6, 4}",18,"{'H', 'S'}"
158,"{9, 10}",19,{'S'}
159,"{11, 6, 10}",17,{'D'}
160,"{4, 10, 11, 10}",25,"{'H', 'H'}"
161,"{4, 11, 11, 7, 3, 3}",19,"{'H', 'H', 'H', 'H', 'S'}"
162,"{11, 10}",21,{'P'}
162,"{11, 3}",14,{}
163,"{3, 7, 2, 4, 10}",26,"{'H', 'H', 'H'}"
164,"{3, 10, 10}",23,{'H'}
165,"{8, 3, 5}",16,{'D'}
166,"{2, 8}",10,{}
167,"{8, 10}",18,"{'P', 'S'}"
167,"{8, 9}",17,{'S'}
168,"{2, 4, 3, 9}",18,"{'H', 'H', 'S'}"
169,"{6, 8, 3}",17,"{'H', 'S'}"
170,"{11, 7}",18,{'S'}
171,"{10, 2}",12,{'S'}
172,"{11, 2, 10, 10}",23,"{'H', 'H'}"
173,"{5, 3, 4, 5}",17,"{'H', 'H', 'S'}"
174,"{10, 10}",20,{'S'}
175,"{10, 5, 4}",19,"{'H', 'S'}"
176,"{10, 6}",16,{'S'}
177,"{11, 10}",21,{'S'}
178,"{3, 10, 5}",18,"{'N', 'H', 'S'}"
179,"{2, 10, 4, 10}",26,"{'H', 'H'}"
180,"{11, 8}",19,{'S'}
181,"{6, 8}",14,{'S'}
182,"{10, 8}",18,{'S'}
183,"{2, 10}",12,{'S'}
184,"{6, 10, 10}",26,{'H'}
185,"{8, 6}",14,{'S'}
186,"{11, 5, 10, 10}",26,"{'H', 'H'}"
187,"{4, 2, 2, 4}",12,"{'H', 'H', 'S'}"
188,"{11, 8, 10}",19,{'D'}
189,"{11, 7, 10}",18,{'D'}
190,"{5, 3, 5, 10}",23,"{'H', 'H'}"
191,"{8, 5, 10}",23,{'H'}
192,"{2, 7, 10}",19,"{'H', 'S'}"
193,"{5, 10, 4}",19,"{'H', 'S'}"
194,"{10, 10}",20,{}
195,"{11, 7, 5, 11, 8}",22,"{'H', 'H', 'H'}"
196,"{10, 11}",21,{'S'}
197,"{5, 3, 10}",18,"{'H', 'S'}"
198,"{7, 4, 5}",16,{'D'}
199,"{2, 7, 7}",16,{'D'}
200,"{6, 6, 9}",21,"{'H', 'S'}"
201,"{10, 4, 8}",22,{'H'}
202,"{10, 9}",19,{'S'}
203,"{10, 4, 10}",24,{'H'}
204,"{10, 9}",19,{'S'}
205,"{10, 10}",20,{'S'}
206,"{10, 5}",15,{'S'}
207,"{8, 3, 8}",19,"{'P', 'D'}"
207,"{8, 10}",18,{'S'}
208,"{10, 10}",20,{'S'}
209,"{8, 4, 7}",19,"{'H', 'S'}"
210,"{7, 4, 5}",16,{'D'}
211,"{11, 8}",19,{'S'}
212,"{5, 10}",15,{'R'}
213,"{9, 10}",19,{}
214,"{8, 9}",17,{'S'}
215,"{7, 10}",17,{'S'}
216,"{3, 8, 10}",21,"{'P', 'D'}"
216,"{3, 10}",13,{'S'}
217,"{10, 5}",15,{'R'}
218,"{11, 9}",20,{'P'}
218,"{11, 4}",15,{}
219,"{6, 5, 3}",14,{'D'}
220,"{10, 4}",14,{'S'}
221,"{10, 8}",18,{'S'}
222,"{10, 8}",18,{'N'}
223,"{3, 5, 6}",14,"{'H', 'S'}"
224,"{10, 10}",20,{'S'}
225,"{5, 10}",15,{'N'}
226,"{5, 11, 10}",16,{'D'}
227,"{7, 10}",17,{'S'}
228,"{7, 2, 8}",17,{'D'}
229,"{10, 10}",20,{'S'}
230,"{10, 5, 4}",19,"{'H', 'S'}"
231,"{9, 7}",16,{'R'}
232,"{10, 10}",20,{'S'}
233,"{2, 10, 10}",22,{'H'}
234,"{7, 2, 10}",19,"{'H', 'S'}"
235,"{10, 11}",21,{'S'}
236,"{10, 10}",20,{'S'}
237,"{10, 11}",21,{'S'}
238,"{10, 9}",19,{'S'}
239,"{11, 3, 10}",14,"{'H', 'S'}"
240,"{5, 10}",15,{'S'}
241,"{11, 10}",21,{'S'}
242,"{9, 11}",20,{'S'}
243,"{3, 10}",13,{'S'}
244,"{10, 10}",20,{'S'}
245,"{9, 10}",19,{'S'}
246,"{8, 6}",14,{'S'}
247,"{10, 10}",20,{'S'}
248,"{5, 5, 5, 7}",22,"{'N', 'H', 'H'}"
249,"{10, 10}",20,{'S'}
250,"{7, 6, 10}",23,{'H'}
251,"{7, 7, 10}",24,{'H'}
252,"{10, 10}",20,{'S'}
253,"{3, 10, 4}",17,"{'N', 'H', 'S'}"
254,"{9, 11}",20,{'S'}
255,"{10, 7}",17,{'S'}
256,"{10, 11}",21,{'S'}
257,"{10, 4, 8}",22,{'H'}
258,"{10, 10}",20,{}
259,"{2, 9, 6}",17,{'D'}
260,"{4, 10, 10}",24,{'H'}
261,"{10, 5}",15,{'R'}
262,"{4, 5, 7}",16,{'D'}
263,"{8, 10}",18,{'S'}
264,"{6, 6, 10}",22,"{'N', 'H'}"
265,"{7, 2, 7}",16,{'D'}
266,"{7, 3, 3, 9}",22,"{'H', 'H'}"
267,"{10, 7}",17,"{'N', 'R'}"
268,"{7, 8}",15,{'S'}
269,"{8, 4}",12,{}
270,"{4, 10}",14,{'S'}
271,"{4, 6, 10}",20,{'D'}
272,"{10, 4, 4}",18,"{'H', 'S'}"
273,"{11, 10}",21,{'S'}
274,"{10, 10}",20,{'S'}
275,"{6, 10}",16,{'R'}
276,"{9, 7}",16,{'S'}
277,"{5, 10}",15,{'S'}
278,"{6, 2, 10}",18,"{'H', 'S'}"
279,"{3, 10}",13,{'S'}
280,"{11, 10}",21,{'S'}
281,"{8, 5, 2, 10}",25,"{'H', 'H'}"
282,"{5, 3, 10}",18,"{'H', 'S'}"
283,"{11, 4, 3}",18,{'D'}
284,"{4, 2, 9, 10}",25,"{'H', 'H'}"
285,"{10, 8}",18,{'S'}
286,"{10, 11}",21,"{'N', 'S'}"
287,"{4, 10}",14,{'S'}
288,"{2, 10, 4, 10}",26,"{'H', 'H'}"
289,"{4, 3, 7}",14,"{'H', 'S'}"
290,"{3, 8, 10}",21,{'D'}
291,"{8, 3, 4}",15,{'D'}
292,"{11, 10}",21,{'S'}
293,"{10, 10}",20,{'S'}
294,"{6, 9, 6}",21,"{'H', 'S'}"
295,"{10, 5}",15,{'S'}
296,"{8, 5, 10}",23,{'H'}
297,"{10, 3, 11, 9}",23,"{'H', 'H'}"
298,"{5, 10}",15,{'R'}
299,"{11, 10}",21,{'S'}
300,"{10, 10}",20,{'S'}
301,"{2, 10, 10}",22,{'H'}
302,"{8, 5, 5}",18,"{'N', 'H', 'S'}"
303,"{10, 10}",20,{'S'}
304,"{4, 4, 10}",18,"{'H', 'S'}"
305,"{11, 3, 6}",20,"{'H', 'S'}"
306,"{5, 10}",15,"{'N', 'R'}"
307,"{10, 4, 2, 5}",21,"{'H', 'H', 'S'}"
308,"{4, 3, 2, 10}",19,"{'H', 'H', 'S'}"
309,"{10, 5}",15,{'S'}
310,"{7, 10}",17,{'S'}
311,"{3, 7, 10}",20,{'D'}
312,"{7, 6}",13,{'S'}
313,"{2, 11, 10, 11, 11, 4}",19,"{'H', 'H', 'H', 'H', 'S'}"
314,"{5, 4, 9}",18,"{'H', 'S'}"
315,"{2, 10}",12,{'S'}
316,"{4, 10, 11, 9}",24,"{'H', 'H'}"
317,"{9, 10}",19,{'S'}
318,"{10, 8}",18,{'S'}
319,"{11, 10}",21,{'S'}
320,"{8, 10}",18,{'S'}
321,"{9, 11}",20,{'S'}
322,"{3, 2, 10, 7}",22,"{'H', 'H'}"
323,"{10, 7}",17,{'S'}
324,"{4, 7, 10}",21,{'D'}
325,"{10, 8}",18,{'N'}
326,"{5, 10}",15,{'R'}
327,"{10, 6}",16,{'R'}
328,"{10, 9}",19,{}
329,"{3, 10}",13,{'S'}
330,"{2, 3}",5,{}
331,"{7, 2, 4}",13,{'D'}
332,"{10, 5}",15,{'S'}
333,"{8, 10}",18,{'S'}
